class,framework,seed,f1
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,two_stage,123,0.8888888888888888
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,two_stage,492,0.8466257668711656
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,attention,0,0.9076047447649781
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,attention,1,0.916527976371862
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,attention,42,0.9107767566836587
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,attention,123,0.8993924955330553
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,attention,492,0.9157337580214531
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,gating,0,0.924739952786569
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,gating,1,0.9192034632034634
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,gating,42,0.9395481375941378
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,gating,123,0.9165362423789389
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,gating,492,0.9173263384701861
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,ffs,0,0.8881192881192881
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,ffs,1,0.88514034792596
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,ffs,42,0.8843359087564385
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,ffs,123,0.8626184626184626
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,ffs,492,0.7862339043271912
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,ffc,0,0.868421052631579
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,ffc,1,0.8697465617351027
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,ffc,42,0.8663565402507293
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,ffc,123,0.8594376589747702
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,ffc,492,0.8413993955042156
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,film,0,0.8603781215246183
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,film,1,0.8469494639596582
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,film,42,0.8498784251379407
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,film,123,0.865916305916306
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,film,492,0.758375580054183
Corn_(maize)__Common_rust_,one_stage,0,0.9971988795518208
Corn_(maize)__Common_rust_,one_stage,1,0.994413407821229
Corn_(maize)__Common_rust_,one_stage,42,0.994413407821229
Corn_(maize)__Common_rust_,one_stage,123,0.994413407821229
Corn_(maize)__Common_rust_,one_stage,492,0.9944444444444444
Corn_(maize)__Common_rust_,two_stage,0,0.9915966386554622
Corn_(maize)__Common_rust_,two_stage,1,0.994413407821229
Corn_(maize)__Common_rust_,two_stage,42,0.9916434540389972
Corn_(maize)__Common_rust_,two_stage,123,0.9916434540389972
Corn_(maize)__Common_rust_,two_stage,492,0.994413407821229
Corn_(maize)__Common_rust_,attention,0,0.9928669991019868
Corn_(maize)__Common_rust_,attention,1,0.9946042597437936
Corn_(maize)__Common_rust_,attention,42,0.9963369963369965
Corn_(maize)__Common_rust_,attention,123,0.9919961027889418
Corn_(maize)__Common_rust_,attention,492,0.9909665675861468
Corn_(maize)__Common_rust_,gating,0,0.9946042597437936
