disease,framework,seed,f1
Leaf_blight_(Isariopsis_Leaf_Spot),one_stage,42,0.981132075471698
Leaf_blight_(Isariopsis_Leaf_Spot),one_stage,123,0.9969040247678018
Leaf_blight_(Isariopsis_Leaf_Spot),one_stage,492,0.9969040247678018
Leaf_blight_(Isariopsis_Leaf_Spot),two_stage,0,1.0
Leaf_blight_(Isariopsis_Leaf_Spot),two_stage,1,1.0
Leaf_blight_(Isariopsis_Leaf_Spot),two_stage,42,1.0
Leaf_blight_(Isariopsis_Leaf_Spot),two_stage,123,0.9969230769230768
Leaf_blight_(Isariopsis_Leaf_Spot),two_stage,492,0.9969230769230768
Leaf_blight_(Isariopsis_Leaf_Spot),attention,0,1.0
Leaf_blight_(Isariopsis_Leaf_Spot),attention,1,1.0
Leaf_blight_(Isariopsis_Leaf_Spot),attention,42,1.0
Leaf_blight_(Isariopsis_Leaf_Spot),attention,123,1.0
Leaf_blight_(Isariopsis_Leaf_Spot),attention,492,1.0
Leaf_blight_(Isariopsis_Leaf_Spot),gating,0,0.9969040247678018
Leaf_blight_(Isariopsis_Leaf_Spot),gating,1,1.0
Leaf_blight_(Isariopsis_Leaf_Spot),gating,42,0.9969040247678018
Leaf_blight_(Isariopsis_Leaf_Spot),gating,123,1.0
Leaf_blight_(Isariopsis_Leaf_Spot),gating,492,1.0
Leaf_blight_(Isariopsis_Leaf_Spot),ffs,0,0.9908256880733946
Leaf_blight_(Isariopsis_Leaf_Spot),ffs,1,0.9907120743034056
Leaf_blight_(Isariopsis_Leaf_Spot),ffs,42,0.9938271604938272
Leaf_blight_(Isariopsis_Leaf_Spot),ffs,123,0.9906542056074766
Leaf_blight_(Isariopsis_Leaf_Spot),ffs,492,0.9937888198757764
Leaf_blight_(Isariopsis_Leaf_Spot),ffc,0,0.9938271604938272
Leaf_blight_(Isariopsis_Leaf_Spot),ffc,1,0.9938271604938272
Leaf_blight_(Isariopsis_Leaf_Spot),ffc,42,0.9907692307692308
Leaf_blight_(Isariopsis_Leaf_Spot),ffc,123,0.9969230769230768
Leaf_blight_(Isariopsis_Leaf_Spot),ffc,492,0.9937888198757764
Leaf_blight_(Isariopsis_Leaf_Spot),film,0,0.9938271604938272
Leaf_blight_(Isariopsis_Leaf_Spot),film,1,0.9876543209876544
Leaf_blight_(Isariopsis_Leaf_Spot),film,42,0.9969230769230768
Leaf_blight_(Isariopsis_Leaf_Spot),film,123,1.0
Leaf_blight_(Isariopsis_Leaf_Spot),film,492,0.9969040247678018
Leaf_scorch,one_stage,0,0.9910979228486648
Leaf_scorch,one_stage,1,0.988095238095238
Leaf_scorch,one_stage,42,0.9763313609467456
Leaf_scorch,one_stage,123,0.994011976047904
Leaf_scorch,one_stage,492,0.9940476190476192
Leaf_scorch,two_stage,0,1.0
Leaf_scorch,two_stage,1,1.0
Leaf_scorch,two_stage,42,1.0
Leaf_scorch,two_stage,123,1.0
Leaf_scorch,two_stage,492,1.0
Leaf_scorch,attention,0,0.9970149253731344
Leaf_scorch,attention,1,1.0
Leaf_scorch,attention,42,0.9970149253731344
Leaf_scorch,attention,123,0.9970149253731344
Leaf_scorch,attention,492,1.0
Leaf_scorch,gating,0,0.9940476190476192
Leaf_scorch,gating,1,1.0
Leaf_scorch,gating,42,0.9940476190476192
Leaf_scorch,gating,123,0.9940476190476192
Leaf_scorch,gating,492,1.0
Leaf_scorch,ffs,0,1.0
Leaf_scorch,ffs,1,0.9881656804733728
Leaf_scorch,ffs,42,0.9970149253731344
Leaf_scorch,ffs,123,0.993975903614458
Leaf_scorch,ffs,492,0.996996996996997
Leaf_scorch,ffc,0,0.994011976047904
Leaf_scorch,ffc,1,0.988095238095238
Leaf_scorch,ffc,42,0.996996996996997
Leaf_scorch,ffc,123,0.9970149253731344
Leaf_scorch,ffc,492,0.991044776119403
Leaf_scorch,film,0,1.0
Leaf_scorch,film,1,0.9970149253731344
Leaf_scorch,film,42,0.991044776119403
Leaf_scorch,film,123,0.9910979228486648
Leaf_scorch,film,492,0.993975903614458
Northern_Leaf_Blight,one_stage,0,0.936026936026936
Northern_Leaf_Blight,one_stage,1,0.9201277955271564
Northern_Leaf_Blight,one_stage,42,0.9250814332247556
Northern_Leaf_Blight,one_stage,123,0.906148867313916
Northern_Leaf_Blight,one_stage,492,0.9278350515463918
Northern_Leaf_Blight,two_stage,0,0.9419795221843004
Northern_Leaf_Blight,two_stage,1,0.9194630872483222
Northern_Leaf_Blight,two_stage,42,0.9387755102040816
Northern_Leaf_Blight,two_stage,123,0.9261744966442952
Northern_Leaf_Blight,two_stage,492,0.9027777777777778
Northern_Leaf_Blight,attention,0,0.9504950495049505
Northern_Leaf_Blight,attention,1,0.9570957095709572
Northern_Leaf_Blight,attention,42,0.9504950495049505
Northern_Leaf_Blight,attention,123,0.9403973509933776
Northern_Leaf_Blight,attention,492,0.9536423841059604
Northern_Leaf_Blight,gating,0,0.953020134228188
Northern_Leaf_Blight,gating,1,0.9533333333333334
Northern_Leaf_Blight,gating,42,0.9594594594594594
Northern_Leaf_Blight,gating,123,0.9498327759197324
Northern_Leaf_Blight,gating,492,0.956810631229236
Northern_Leaf_Blight,ffs,0,0.9407894736842104
Northern_Leaf_Blight,ffs,1,0.94
Northern_Leaf_Blight,ffs,42,0.9368770764119602
Northern_Leaf_Blight,ffs,123,0.935483870967742
Northern_Leaf_Blight,ffs,492,0.897196261682243
Northern_Leaf_Blight,ffc,0,0.9225806451612903
Northern_Leaf_Blight,ffc,1,0.9283276450511946
Northern_Leaf_Blight,ffc,42,0.924092409240924
Northern_Leaf_Blight,ffc,123,0.896774193548387
Northern_Leaf_Blight,ffc,492,0.9171974522292994
Northern_Leaf_Blight,film,0,0.9355932203389832
Northern_Leaf_Blight,film,1,0.9342105263157896
Northern_Leaf_Blight,film,42,0.919093851132686
Northern_Leaf_Blight,film,123,0.9230769230769232
Northern_Leaf_Blight,film,492,0.8613569321533924
Powdery_mildew,one_stage,0,0.9807692307692308
Powdery_mildew,one_stage,1,0.9675324675324676
Powdery_mildew,one_stage,42,0.9871794871794872
Powdery_mildew,one_stage,123,0.9936305732484076
Powdery_mildew,one_stage,492,0.9840255591054312
Powdery_mildew,two_stage,0,1.0
Powdery_mildew,two_stage,1,0.9968253968253968
Powdery_mildew,two_stage,42,1.0
Powdery_mildew,two_stage,123,1.0
Powdery_mildew,two_stage,492,1.0
Powdery_mildew,attention,0,0.9968253968253968
Powdery_mildew,attention,1,0.9968253968253968
Powdery_mildew,attention,42,0.9936708860759492
Powdery_mildew,attention,123,0.9871794871794872
Powdery_mildew,attention,492,0.9968253968253968
Powdery_mildew,gating,0,0.9936305732484076
Powdery_mildew,gating,1,0.9936305732484076
Powdery_mildew,gating,42,0.9904153354632588
Powdery_mildew,gating,123,0.9968253968253968
Powdery_mildew,gating,492,0.9936708860759492
Powdery_mildew,ffs,0,0.9904761904761904
Powdery_mildew,ffs,1,0.9936305732484076
Powdery_mildew,ffs,42,0.9872611464968152
Powdery_mildew,ffs,123,0.9904761904761904
Powdery_mildew,ffs,492,0.9968253968253968
Powdery_mildew,ffc,0,0.9905362776025236
Powdery_mildew,ffc,1,0.9842271293375394
Powdery_mildew,ffc,42,0.9968253968253968
Powdery_mildew,ffc,123,0.9936708860759492
Powdery_mildew,ffc,492,0.984126984126984
Powdery_mildew,film,0,0.9872611464968152
Powdery_mildew,film,1,0.9872611464968152
Powdery_mildew,film,42,0.9807692307692308
Powdery_mildew,film,123,0.9872611464968152
Powdery_mildew,film,492,0.9904153354632588
Septoria_leaf_spot,one_stage,0,0.9056603773584906
Septoria_leaf_spot,one_stage,1,0.9066666666666666
Septoria_leaf_spot,one_stage,42,0.8973384030418251
Septoria_leaf_spot,one_stage,123,0.9105058365758756
Septoria_leaf_spot,one_stage,492,0.9295238095238096
Septoria_leaf_spot,two_stage,0,0.9411764705882352
Septoria_leaf_spot,two_stage,1,0.928030303030303
Septoria_leaf_spot,two_stage,42,0.9262759924385632
Septoria_leaf_spot,two_stage,123,0.9265536723163842
Septoria_leaf_spot,two_stage,492,0.945179584120983
Septoria_leaf_spot,attention,0,0.9718574108818012
Septoria_leaf_spot,attention,1,0.9813432835820896
Septoria_leaf_spot,attention,42,0.968342644320298
Septoria_leaf_spot,attention,123,0.9738805970149254
Septoria_leaf_spot,attention,492,0.968342644320298
Septoria_leaf_spot,gating,0,0.9739776951672864
Septoria_leaf_spot,gating,1,0.9792843691148776
Septoria_leaf_spot,gating,42,0.9611829944547134
Septoria_leaf_spot,gating,123,0.9757009345794392
Septoria_leaf_spot,gating,492,0.9717514124293786
Septoria_leaf_spot,ffs,0,0.9071428571428573
Septoria_leaf_spot,ffs,1,0.896551724137931
Septoria_leaf_spot,ffs,42,0.8853615520282186
Septoria_leaf_spot,ffs,123,0.8758620689655172
Septoria_leaf_spot,ffs,492,0.9071428571428573
Septoria_leaf_spot,ffc,0,0.8969258589511754
Septoria_leaf_spot,ffc,1,0.8846153846153846
Septoria_leaf_spot,ffc,42,0.905861456483126
Septoria_leaf_spot,ffc,123,0.9009009009009008
Septoria_leaf_spot,ffc,492,0.8494983277591973
Septoria_leaf_spot,film,0,0.8640275387263339
Septoria_leaf_spot,film,1,0.908450704225352
Septoria_leaf_spot,film,42,0.8964285714285715
Septoria_leaf_spot,film,123,0.8818342151675485
Septoria_leaf_spot,film,492,0.8958333333333334
Spider_mites Two-spotted_spider_mite,one_stage,0,0.9142857142857144
Spider_mites Two-spotted_spider_mite,one_stage,1,0.9135802469135802
Spider_mites Two-spotted_spider_mite,one_stage,42,0.8695652173913043
Spider_mites Two-spotted_spider_mite,one_stage,123,0.893970893970894
Spider_mites Two-spotted_spider_mite,one_stage,492,0.9057377049180328
Spider_mites Two-spotted_spider_mite,two_stage,0,0.927536231884058
Spider_mites Two-spotted_spider_mite,two_stage,1,0.9314516129032258
Spider_mites Two-spotted_spider_mite,two_stage,42,0.931237721021611
Spider_mites Two-spotted_spider_mite,two_stage,123,0.9087301587301588
Spider_mites Two-spotted_spider_mite,two_stage,492,0.9230769230769232
Spider_mites Two-spotted_spider_mite,attention,0,0.9921259842519684
Spider_mites Two-spotted_spider_mite,attention,1,0.986247544204322
Spider_mites Two-spotted_spider_mite,attention,42,0.9881889763779528
Spider_mites Two-spotted_spider_mite,attention,123,0.990138067061144
Spider_mites Two-spotted_spider_mite,attention,492,0.9882352941176472
Spider_mites Two-spotted_spider_mite,gating,0,0.9766536964980544
Spider_mites Two-spotted_spider_mite,gating,1,0.9921259842519684
Spider_mites Two-spotted_spider_mite,gating,42,0.984375
Spider_mites Two-spotted_spider_mite,gating,123,0.984251968503937
Spider_mites Two-spotted_spider_mite,gating,492,0.980544747081712
Spider_mites Two-spotted_spider_mite,ffs,0,0.9299610894941636
Spider_mites Two-spotted_spider_mite,ffs,1,0.9254901960784314
Spider_mites Two-spotted_spider_mite,ffs,42,0.9242718446601942
Spider_mites Two-spotted_spider_mite,ffs,123,0.9307692307692308
