class,framework,seed,f1
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,attention,1,0.918918918918919
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,attention,42,0.91156462585034
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,attention,123,0.9041095890410958
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,attention,492,0.918918918918919
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,gating,0,0.9271523178807948
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,gating,1,0.92
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,gating,42,0.9411764705882352
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,gating,123,0.918918918918919
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,gating,492,0.918918918918919
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,ffs,0,0.8888888888888888
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,ffs,1,0.8859060402684564
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,ffs,42,0.8874172185430463
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,ffs,123,0.8648648648648649
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,ffs,492,0.7910447761194029
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,ffc,0,0.868421052631579
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,ffc,1,0.8805031446540881
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,ffc,42,0.8701298701298701
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,ffc,123,0.8609271523178808
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,ffc,492,0.8450704225352113
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,film,0,0.8789808917197452
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,film,1,0.847682119205298
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,film,42,0.8513513513513513
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,film,123,0.8666666666666667
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,film,492,0.7596899224806202
Corn_(maize)__Common_rust_,one_stage,0,0.9971988795518208
Corn_(maize)__Common_rust_,one_stage,1,0.994413407821229
Corn_(maize)__Common_rust_,one_stage,42,0.994413407821229
Corn_(maize)__Common_rust_,one_stage,123,0.994413407821229
Corn_(maize)__Common_rust_,one_stage,492,0.9944444444444444
Corn_(maize)__Common_rust_,two_stage,0,0.9915966386554622
Corn_(maize)__Common_rust_,two_stage,1,0.994413407821229
Corn_(maize)__Common_rust_,two_stage,42,0.9916434540389972
Corn_(maize)__Common_rust_,two_stage,123,0.9916434540389972
Corn_(maize)__Common_rust_,two_stage,492,0.994413407821229
Corn_(maize)__Common_rust_,attention,0,0.9971988795518208
Corn_(maize)__Common_rust_,attention,1,0.9971988795518208
Corn_(maize)__Common_rust_,attention,42,0.9971988795518208
Corn_(maize)__Common_rust_,attention,123,0.9971988795518208
Corn_(maize)__Common_rust_,attention,492,0.994413407821229
Corn_(maize)__Common_rust_,gating,0,0.9971988795518208
Corn_(maize)__Common_rust_,gating,1,0.9971988795518208
Corn_(maize)__Common_rust_,gating,42,0.9916434540389972
Corn_(maize)__Common_rust_,gating,123,0.9972144846796658
Corn_(maize)__Common_rust_,gating,492,0.9972144846796658
Corn_(maize)__Common_rust_,ffs,0,0.994413407821229
Corn_(maize)__Common_rust_,ffs,1,0.988950276243094
Corn_(maize)__Common_rust_,ffs,42,0.994413407821229
Corn_(maize)__Common_rust_,ffs,123,0.9971988795518208
Corn_(maize)__Common_rust_,ffs,492,0.9972144846796658
Corn_(maize)__Common_rust_,ffc,0,0.9971988795518208
Corn_(maize)__Common_rust_,ffc,1,0.994413407821229
Corn_(maize)__Common_rust_,ffc,42,0.9971988795518208
Corn_(maize)__Common_rust_,ffc,123,0.9916434540389972
Corn_(maize)__Common_rust_,ffc,492,0.994413407821229
Corn_(maize)__Common_rust_,film,0,0.9944444444444444
Corn_(maize)__Common_rust_,film,1,1.0
Corn_(maize)__Common_rust_,film,42,1.0
Corn_(maize)__Common_rust_,film,123,0.994413407821229
Corn_(maize)__Common_rust_,film,492,0.9915966386554622
Corn_(maize)__Northern_Leaf_Blight,one_stage,0,0.936026936026936
Corn_(maize)__Northern_Leaf_Blight,one_stage,1,0.9201277955271564
Corn_(maize)__Northern_Leaf_Blight,one_stage,42,0.9250814332247556
Corn_(maize)__Northern_Leaf_Blight,one_stage,123,0.906148867313916
Corn_(maize)__Northern_Leaf_Blight,one_stage,492,0.9278350515463918
Corn_(maize)__Northern_Leaf_Blight,two_stage,0,0.9419795221843004
Corn_(maize)__Northern_Leaf_Blight,two_stage,1,0.9194630872483222
Corn_(maize)__Northern_Leaf_Blight,two_stage,42,0.9387755102040816
Corn_(maize)__Northern_Leaf_Blight,two_stage,123,0.9261744966442952
Corn_(maize)__Northern_Leaf_Blight,two_stage,492,0.9027777777777778
Corn_(maize)__Northern_Leaf_Blight,attention,0,0.9504950495049505
Corn_(maize)__Northern_Leaf_Blight,attention,1,0.9570957095709572
Corn_(maize)__Northern_Leaf_Blight,attention,42,0.9504950495049505
Corn_(maize)__Northern_Leaf_Blight,attention,123,0.9403973509933776
Corn_(maize)__Northern_Leaf_Blight,attention,492,0.9536423841059604
Corn_(maize)__Northern_Leaf_Blight,gating,0,0.953020134228188
Corn_(maize)__Northern_Leaf_Blight,gating,1,0.9533333333333334
Corn_(maize)__Northern_Leaf_Blight,gating,42,0.9594594594594594
Corn_(maize)__Northern_Leaf_Blight,gating,123,0.9498327759197324
Corn_(maize)__Northern_Leaf_Blight,gating,492,0.956810631229236
Corn_(maize)__Northern_Leaf_Blight,ffs,0,0.9407894736842104
Corn_(maize)__Northern_Leaf_Blight,ffs,1,0.94
Corn_(maize)__Northern_Leaf_Blight,ffs,42,0.9368770764119602
Corn_(maize)__Northern_Leaf_Blight,ffs,123,0.935483870967742
Corn_(maize)__Northern_Leaf_Blight,ffs,492,0.897196261682243
Corn_(maize)__Northern_Leaf_Blight,ffc,0,0.9225806451612903
Corn_(maize)__Northern_Leaf_Blight,ffc,1,0.9283276450511946
Corn_(maize)__Northern_Leaf_Blight,ffc,42,0.924092409240924
Corn_(maize)__Northern_Leaf_Blight,ffc,123,0.896774193548387
Corn_(maize)__Northern_Leaf_Blight,ffc,492,0.9171974522292994
Corn_(maize)__Northern_Leaf_Blight,film,0,0.9355932203389832
Corn_(maize)__Northern_Leaf_Blight,film,1,0.9342105263157896
Corn_(maize)__Northern_Leaf_Blight,film,42,0.919093851132686
Corn_(maize)__Northern_Leaf_Blight,film,123,0.9230769230769232
Corn_(maize)__Northern_Leaf_Blight,film,492,0.8613569321533924
Corn_(maize)__healthy,one_stage,0,1.0
Corn_(maize)__healthy,one_stage,1,1.0
Corn_(maize)__healthy,one_stage,42,1.0
Corn_(maize)__healthy,one_stage,123,1.0
Corn_(maize)__healthy,one_stage,492,0.997134670487106
Corn_(maize)__healthy,two_stage,0,0.9971181556195964
Corn_(maize)__healthy,two_stage,1,0.9942196531791908
Corn_(maize)__healthy,two_stage,42,0.9942196531791908
